,movie_title,movie_year,genre,average_rating,num_votes,is_adult,imdb_tconst,imdb_link
18676,Mobile Suit Gundam: Char's Counterattack,1988,"Action,Animation,Drama",7.3,1806.0,0,tt0095262,https://www.imdb.com/title/tt0095262/
18677,Mobile Suit Gundam: Cucuruz Doan's Island,2022,"Action,Animation,Drama",6.6,206.0,0,tt15428330,https://www.imdb.com/title/tt15428330/
18678,Mobius,2013,Thriller,,,0,tt12740726,https://www.imdb.com/title/tt12740726/
18679,Mobsters,1991,"Crime,Drama",5.9,9338.0,0,tt0102460,https://www.imdb.com/title/tt0102460/
18680,"Moby Dick, 1956",1956,"Adventure,Drama",7.3,20548.0,0,tt0049513,https://www.imdb.com/title/tt0049513/
18681,"Moby Dick, 2010",2010,Action,6.4,425.0,0,tt1984208,https://www.imdb.com/title/tt1984208/
18682,Mockingbird,2014,"Horror,Thriller",4.1,2503.0,0,tt2125685,https://www.imdb.com/title/tt2125685/
18683,Mod lyset (Towards The Light),1919,,,,,,
18684,Model Citizens,2015,Documentary,6.4,24.0,0,tt4985564,https://www.imdb.com/title/tt4985564/
18685,Model Home,2018,,,,,,
18686,Models,1999,Drama,6.6,1032.0,0,tt0199776,https://www.imdb.com/title/tt0199776/
18687,Moderato cantabile,1960,,,,,,
18688,Modern Life Is Rubbish,2017,"Comedy,Music,Romance",5.8,976.0,0,tt2385752,https://www.imdb.com/title/tt2385752/
18689,Modern Love,2008,"Comedy,Musical,Romance",5.3,326.0,0,tt0996962,https://www.imdb.com/title/tt0996962/
18690,Modern Problems,1981,"Comedy,Fantasy,Sci-Fi",5.0,5595.0,0,tt0082763,https://www.imdb.com/title/tt0082763/
18691,Modern Times,1936,"Comedy,Drama,Romance",8.5,244848.0,0,tt0027977,https://www.imdb.com/title/tt0027977/
18692,The Moderns,1988,"Comedy,Drama,Romance",6.6,1893.0,0,tt0095649,https://www.imdb.com/title/tt0095649/
18693,Modest Heroes,2018,"Adventure,Animation,Family",6.6,2840.0,0,tt8223844,https://www.imdb.com/title/tt8223844/
18694,Modigliani,2004,"Biography,Drama",7.2,12052.0,0,tt0367188,https://www.imdb.com/title/tt0367188/
18695,Modus Anomali,2012,Thriller,5.4,2873.0,0,tt2182019,https://www.imdb.com/title/tt2182019/
18696,Moebius,1996,"Mystery,Sci-Fi,Thriller",6.7,2041.0,0,tt0117069,https://www.imdb.com/title/tt0117069/
18697,Mogambo,1953,"Adventure,Drama,Romance",6.6,8496.0,0,tt0046085,https://www.imdb.com/title/tt0046085/
18698,"Moglie vergine, La (At Last, at Last)",1975,,,,,,
18699,Mohabbatein,2000,"Drama,Musical,Romance",7.0,30859.0,0,tt0213890,https://www.imdb.com/title/tt0213890/
18700,Mohalla Assi,2015,"Comedy,Drama",6.6,1831.0,0,tt4949324,https://www.imdb.com/title/tt4949324/
18701,Mohawk,2017,"Action,Drama,History",4.7,1608.0,0,tt5189828,https://www.imdb.com/title/tt5189828/
18702,Mohenjo Daro,2016,"Action,Adventure,Drama",5.6,12091.0,0,tt3859980,https://www.imdb.com/title/tt3859980/
18703,Mohini,2018,Horror,3.1,342.0,0,tt6389802,https://www.imdb.com/title/tt6389802/
18704,Mohra,1994,"Action,Drama,Thriller",7.0,8343.0,0,tt0110546,https://www.imdb.com/title/tt0110546/
18705,"Moine, Le (The Monk)",2011,,,,,,
18706,Mojave,2015,"Drama,Thriller",5.2,5236.0,0,tt2322517,https://www.imdb.com/title/tt2322517/
18707,Mojave Moon,1996,"Comedy,Romance,Thriller",5.2,2657.0,0,tt0117070,https://www.imdb.com/title/tt0117070/
18708,Moka,2016,Drama,6.3,1064.0,0,tt5072406,https://www.imdb.com/title/tt5072406/
18709,Mole Man,2017,Documentary,7.5,112.0,0,tt7441338,https://www.imdb.com/title/tt7441338/
18710,"Molly, 2017",2017,"Action,Sci-Fi",4.2,1312.0,0,tt6522982,https://www.imdb.com/title/tt6522982/
18711,"Molly, 1999",1999,"Comedy,Drama,Romance",5.7,3022.0,0,tt0143746,https://www.imdb.com/title/tt0143746/
18712,The Molly Maguires,1970,"Drama,History",6.8,4063.0,0,tt0066090,https://www.imdb.com/title/tt0066090/
18713,Molly Maxwell,2013,"Drama,Romance",6.2,2196.0,0,tt2388705,https://www.imdb.com/title/tt2388705/
18714,Molly Moon and the Incredible Book of Hypnotism,2015,"Adventure,Family,Fantasy",5.2,1200.0,0,tt2445178,https://www.imdb.com/title/tt2445178/
18715,Molly's Game,2017,"Biography,Crime,Drama",7.4,176101.0,0,tt4209788,https://www.imdb.com/title/tt4209788/
18716,Mollywood,2019,Thriller,2.7,141.0,0,tt6969814,https://www.imdb.com/title/tt6969814/
18717,Moloch,2022,Horror,6.0,4633.0,0,tt14412446,https://www.imdb.com/title/tt14412446/
18718,Molokh,1999,Drama,6.7,2487.0,0,tt0199777,https://www.imdb.com/title/tt0199777/
