,movie_title,movie_year,genre,average_rating,num_votes,is_adult,imdb_tconst,imdb_link,tmdbId
11824,Guinevere,1999,"Drama,Romance",6.0,2642.0,0.0,160338,https://www.imdb.com/title/tt0160338/,60994
11825,Guisi (Silk),2006,,,,,0,,0
11826,Gulaal,2009,"Crime,Drama,Thriller",8.0,15248.0,0.0,1261047,https://www.imdb.com/title/tt1261047/,21625
11827,Gulliver Returns,2021,"Adventure,Animation,Family",4.4,255.0,0.0,11238518,https://www.imdb.com/title/tt11238518/,0
11828,Gulliver's Travels,2010,"Adventure,Comedy,Family",4.9,70734.0,0.0,1320261,https://www.imdb.com/title/tt1320261/,38745
11829,Gully,2021,,,,,0,,0
11830,Gully Boy,2019,"Drama,Music,Romance",7.9,40678.0,0.0,2395469,https://www.imdb.com/title/tt2395469/,0
11831,Gully Boy: Live In Concert,2019,"Drama,Music,Musical",5.8,104.0,0.0,9810432,https://www.imdb.com/title/tt9810432/,0
11832,Gultoo,2018,"Crime,Drama",7.9,1379.0,0.0,7479902,https://www.imdb.com/title/tt7479902/,0
11833,The Gumball Rally,1976,Comedy,6.2,4235.0,0.0,74597,https://www.imdb.com/title/tt0074597/,25305
11834,Gumby: The Movie,1995,"Adventure,Animation,Comedy",6.0,957.0,0.0,113234,https://www.imdb.com/title/tt0113234/,43475
11835,Gummi T,2012,"Animation,Comedy,Family",4.4,758.0,0.0,2322457,https://www.imdb.com/title/tt2322457/,0
11836,Gummo,1997,"Comedy,Drama",6.6,36069.0,0.0,119237,https://www.imdb.com/title/tt0119237/,18415
11837,Gumshoe,1971,"Comedy,Crime,Drama",6.5,1674.0,0.0,68669,https://www.imdb.com/title/tt0068669/,34991
11838,Gun,2010,Drama,,,0.0,13907030,https://www.imdb.com/title/tt13907030/,0
11839,Gun City,2018,"Crime,History,Thriller",6.3,4067.0,0.0,7104984,https://www.imdb.com/title/tt7104984/,0
11840,Gun Crazy,1950,"Crime,Drama,Film-Noir",7.6,13744.0,0.0,42530,https://www.imdb.com/title/tt0042530/,18671
11841,Gun Crazy: Episode 1 - A Woman From Nowhere,2002,"Action,Crime,Drama",6.0,160.0,0.0,374688,https://www.imdb.com/title/tt0374688/,0
11842,Gun Crazy: Episode 2 - Beyond the Law,2002,Crime,6.1,75.0,0.0,805265,https://www.imdb.com/title/tt0805265/,0
11843,Gun Fury,1953,"Action,Adventure,Crime",6.0,1643.0,0.0,45846,https://www.imdb.com/title/tt0045846/,43348
11844,Gun No 6,2018,"Crime,Documentary",7.4,65.0,0.0,9371780,https://www.imdb.com/title/tt9371780/,0
11845,"Gun Shy, 2000",2000,"Comedy,Crime,Romance",5.6,7609.0,0.0,171356,https://www.imdb.com/title/tt0171356/,29076
11846,"Gun Shy, 2017",2017,"Action,Comedy,Thriller",4.1,3207.0,0.0,3910736,https://www.imdb.com/title/tt3910736/,430682
11847,Gun Woman,2014,"Action,Thriller",4.8,3277.0,0.0,3141912,https://www.imdb.com/title/tt3141912/,258750
11848,Guncrazy,1992,"Crime,Drama,Romance",5.5,2523.0,0.0,104377,https://www.imdb.com/title/tt0104377/,24065
11849,Gunda,1998,"Action,Comedy,Crime",7.3,10710.0,0.0,497915,https://www.imdb.com/title/tt0497915/,141603
11850,Gundala,2019,"Action,Adventure,Drama",6.1,5301.0,0.0,8237172,https://www.imdb.com/title/tt8237172/,0
11851,Gunday,2014,"Action,Drama,Musical",2.6,59441.0,0.0,2574698,https://www.imdb.com/title/tt2574698/,250551
11852,Gundermann,2018,"Biography,Drama,History",7.2,1999.0,0.0,7205942,https://www.imdb.com/title/tt7205942/,484735
11853,Gunfight at the O.K. Corral,1957,"Biography,Drama,Western",7.2,16235.0,0.0,50468,https://www.imdb.com/title/tt0050468/,22201
11854,Gunfight in Abilene,1967,Western,5.6,443.0,0.0,61738,https://www.imdb.com/title/tt0061738/,0
11855,The Gunfighter,1950,Western,7.7,11670.0,0.0,42531,https://www.imdb.com/title/tt0042531/,17409
